Land Area,Trade flow,Commodity,Y2000,S_2000,Y2001,S_2001,Y2002,S_2002,Y2003,S_2003,Y2004,S_2004,Y2005,S_2005,Y2006,S_2006,Y2007,S_2007,Y2008,S_2008,Y2009,S_2009,Y2010,S_2010,Y2011,S_2011,Y2012,S_2012,Y2013,S_2013,Y2014,S_2014,Y2015,S_2015
Niger,Export,Fish,1618,,6676,,8025,,5905,,3684,,2260,,681,,287,,449,,405,,556,,815,,831,,1228,,1367,,658,
Nigeria,Export,Fish,224,F,628,F,597,F,246,F,605,F,754,F,813,,1169,,688,,204,,300,,22415,,9270,F,63571,F,4040,F,3053,F
Rwanda,Export,Fish,0,.,0,.,0,.,0,.,0,.,38,,0,0,92,,310,,555,,253,,120,,317,,173,,1208,,2098,F
Saint Helena,Export,Fish,160,F,355,F,309,F,229,F,336,F,572,F,478,F,596,F,790,F,510,F,372,F,694,F,387,F,419,F,428,F,624,F
Sao Tome and Principe,Export,Fish,53,F,300,F,82,F,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,,0,-,0,-,0,0,2,,2,
Senegal,Export,Fish,66526,,63266,,60109,F,68138,,95012,,74208,,65782,,87440,,73125,,78367,,78034,,92458,,90520,,124112,,134315,,173157,
Seychelles,Export,Fish,42096,,62891,,65520,,128334,F,102306,F,114356,F,99635,F,94997,F,72241,F,72560,F,82478,,105684,,107426,F,97456,,77485,F,106393,
Sierra Leone,Export,Fish,5496,F,5031,F,5080,F,3008,F,3080,F,3404,F,3552,F,3853,F,3768,F,3944,F,3942,F,4079,F,4310,F,3848,F,4209,F,4787,F
Somalia,Export,Fish,1101,,1642,F,2867,F,1378,F,2243,F,2692,F,2010,F,2217,F,3152,F,4147,F,1133,F,1396,F,936,F,1235,F,1462,F,2106,F
South Africa,Export,Fish,127000,,136172,,130521,,118739,,106464,,123422,,98084,,94365,,93436,,111280,,105576,,108188,,101227,,105545,,114387,,92914,
South Sudan,Export,Fish,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,13,F,0,-,0,-,0,-
